windrichting;afvoer;windsnelheid;zeewaterstand;Rotterdam;Dordrecht
225;55;0;3.39;3;2.9
225;55;10;3.37;3;2.9
225;55;20;3.279;3;2.9
225;55;30;3.085;3;2.9
225;55;42;2.766;3;2.9
225;55;46;2.579;3;2.9
225;377;0;3.26;3;2.9
225;377;10;3.239;3;2.9
225;377;20;3.146;3;2.9
225;377;30;2.96;3;2.9
225;377;42;2.627;3;2.9
225;377;46;2.457;3;2.9
225;884;0;3.16;3;2.9
225;884;10;3.143;3;2.9
225;884;20;3.057;3;2.9
225;884;30;2.874;3;2.9
225;884;42;2.528;3;2.9
225;884;46;2.362;3;2.9
225;1284;0;3.049;3;2.9
225;1284;10;3.031;3;2.9
225;1284;20;2.949;3;2.9
225;1284;30;2.765;3;2.9
225;1284;42;2.412;3;2.9
225;1284;46;2.236;3;2.9
225;1708;0;2.91;3;2.9
225;1708;10;2.892;3;2.9
225;1708;20;2.814;3;2.9
225;1708;30;2.651;3;2.9
225;1708;42;2.237;3;2.9
225;1708;46;1.958;3;2.9
225;2134;0;2.785;3;2.9
225;2134;10;2.763;3;2.9
225;2134;20;2.669;3;2.9
225;2134;30;2.485;3;2.9
225;2134;42;1.941;3;2.9
225;2134;46;1.663;3;2.9
225;2918;0;2.596;3;2.9
225;2918;10;2.572;3;2.9
225;2918;20;2.479;3;2.9
225;2918;30;2.198;3;2.9
225;2918;42;1.584;3;2.9
225;2918;46;1.289;3;2.9
225;3620;0;2.359;3;2.9
225;3620;10;2.316;3;2.9
225;3620;20;2.13;3;2.9
225;3620;30;1.85;3;2.9
225;3620;42;1.125;3;2.9
225;3620;46;0.784;3;2.9
225;3693;0;2.334;3;2.9
225;3693;10;2.292;3;2.9
225;3693;20;2.106;3;2.9
225;3693;30;1.827;3;2.9
225;3693;42;1.088;3;2.9
225;3693;46;0.746;3;2.9
225;3755;0;2.281;3;2.9
225;3755;10;2.239;3;2.9
225;3755;20;2.058;3;2.9
225;3755;30;1.783;3;2.9
225;3755;42;1.01;3;2.9
225;3755;46;0.669;3;2.9
225;3978;0;2.168;3;2.9
225;3978;10;2.119;3;2.9
225;3978;20;1.943;3;2.9
225;3978;30;1.66;3;2.9
225;3978;42;0.745;3;2.9
225;3978;46;0.439;3;2.9
225;4469;0;1.944;3;2.9
225;4469;10;1.901;3;2.9
225;4469;20;1.714;3;2.9
225;4469;30;1.378;3;2.9
225;4469;42;0.148;3;2.9
225;4469;46;-0.183;3;2.9
225;5041;0;1.729;3;2.9
225;5041;10;1.687;3;2.9
225;5041;20;1.494;3;2.9
225;5041;30;1.045;3;2.9
225;5041;42;-0.189;3;2.9
225;5041;46;-0.758;3;2.9
225;5570;0;1.505;3;2.9
225;5570;10;1.458;3;2.9
225;5570;20;1.251;3;2.9
225;5570;30;0.794;3;2.9
225;5570;42;-0.712;3;2.9
225;5570;46;-1.02;3;2.9
225;6145;0;1.199;3;2.9
225;6145;10;1.146;3;2.9
225;6145;20;0.923;3;2.9
225;6145;30;0.468;3;2.9
225;6145;42;-0.767;3;2.9
225;6145;46;-1.497;3;2.9
247.5;55;0;3.39;3;2.9
247.5;55;10;3.363;3;2.9
247.5;55;20;3.237;3;2.9
247.5;55;30;2.997;3;2.9
247.5;55;42;2.584;3;2.9
247.5;55;46;2.382;3;2.9
247.5;377;0;3.26;3;2.9
247.5;377;10;3.23;3;2.9
247.5;377;20;3.105;3;2.9
247.5;377;30;2.883;3;2.9
247.5;377;42;2.467;3;2.9
247.5;377;46;2.265;3;2.9
247.5;884;0;3.16;3;2.9
247.5;884;10;3.136;3;2.9
247.5;884;20;3.018;3;2.9
247.5;884;30;2.789;3;2.9
247.5;884;42;2.382;3;2.9
247.5;884;46;2.165;3;2.9
247.5;1284;0;3.049;3;2.9
247.5;1284;10;3.023;3;2.9
247.5;1284;20;2.913;3;2.9
247.5;1284;30;2.67;3;2.9
247.5;1284;42;2.187;3;2.9
247.5;1284;46;1.873;3;2.9
247.5;1708;0;2.91;3;2.9
247.5;1708;10;2.884;3;2.9
247.5;1708;20;2.784;3;2.9
247.5;1708;30;2.518;3;2.9
247.5;1708;42;1.769;3;2.9
247.5;1708;46;1.386;3;2.9
247.5;2134;0;2.785;3;2.9
247.5;2134;10;2.755;3;2.9
247.5;2134;20;2.628;3;2.9
247.5;2134;30;2.263;3;2.9
247.5;2134;42;1.372;3;2.9
247.5;2134;46;0.97;3;2.9
247.5;2918;0;2.596;3;2.9
247.5;2918;10;2.564;3;2.9
247.5;2918;20;2.392;3;2.9
247.5;2918;30;1.894;3;2.9
247.5;2918;42;0.961;3;2.9
247.5;2918;46;0.496;3;2.9
247.5;3620;0;2.359;3;2.9
247.5;3620;10;2.291;3;2.9
247.5;3620;20;2.014;3;2.9
247.5;3620;30;1.553;3;2.9
247.5;3620;42;0.445;3;2.9
247.5;3620;46;0.146;3;2.9
247.5;3693;0;2.334;3;2.9
247.5;3693;10;2.265;3;2.9
247.5;3693;20;1.994;3;2.9
247.5;3693;30;1.528;3;2.9
247.5;3693;42;0.4;3;2.9
247.5;3693;46;0.12;3;2.9
247.5;3755;0;2.281;3;2.9
247.5;3755;10;2.213;3;2.9
247.5;3755;20;1.947;3;2.9
247.5;3755;30;1.47;3;2.9
247.5;3755;42;0.333;3;2.9
247.5;3755;46;0.072;3;2.9
247.5;3978;0;2.168;3;2.9
247.5;3978;10;2.094;3;2.9
247.5;3978;20;1.849;3;2.9
247.5;3978;30;1.337;3;2.9
247.5;3978;42;0.209;3;2.9
247.5;3978;46;-0.162;3;2.9
247.5;4469;0;1.944;3;2.9
247.5;4469;10;1.879;3;2.9
247.5;4469;20;1.611;3;2.9
247.5;4469;30;1.014;3;2.9
247.5;4469;42;-0.309;3;2.9
247.5;4469;46;-0.614;3;2.9
247.5;5041;0;1.729;3;2.9
247.5;5041;10;1.663;3;2.9
247.5;5041;20;1.366;3;2.9
247.5;5041;30;0.692;3;2.9
247.5;5041;42;-0.894;3;2.9
247.5;5041;46;-0.992;3;2.9
247.5;5570;0;1.505;3;2.9
247.5;5570;10;1.435;3;2.9
247.5;5570;20;1.111;3;2.9
247.5;5570;30;0.41;3;2.9
247.5;5570;42;-1.302;3;2.9
247.5;5570;46;-1.711;3;2.9
247.5;6145;0;1.199;3;2.9
247.5;6145;10;1.12;3;2.9
247.5;6145;20;0.811;3;2.9
247.5;6145;30;0.15;3;2.9
247.5;6145;42;-1.903;3;2.9
247.5;6145;46;-2.631;3;2.9
270;55;0;3.39;3;2.9
270;55;10;3.361;3;2.9
270;55;20;3.222;3;2.9
270;55;30;2.966;3;2.9
270;55;42;2.537;3;2.9
270;55;46;2.323;3;2.9
270;377;0;3.26;3;2.9
270;377;10;3.227;3;2.9
270;377;20;3.09;3;2.9
270;377;30;2.852;3;2.9
270;377;42;2.42;3;2.9
270;377;46;2.213;3;2.9
270;884;0;3.16;3;2.9
270;884;10;3.133;3;2.9
270;884;20;3.002;3;2.9
270;884;30;2.744;3;2.9
270;884;42;2.323;3;2.9
270;884;46;1.964;3;2.9
270;1284;0;3.049;3;2.9
270;1284;10;3.02;3;2.9
270;1284;20;2.894;3;2.9
270;1284;30;2.626;3;2.9
270;1284;42;1.839;3;2.9
270;1284;46;1.522;3;2.9
270;1708;0;2.91;3;2.9
270;1708;10;2.88;3;2.9
270;1708;20;2.772;3;2.9
270;1708;30;2.335;3;2.9
270;1708;42;1.49;3;2.9
270;1708;46;1.129;3;2.9
270;2134;0;2.785;3;2.9
270;2134;10;2.752;3;2.9
270;2134;20;2.613;3;2.9
270;2134;30;2.062;3;2.9
270;2134;42;1.177;3;2.9
270;2134;46;0.807;3;2.9
270;2918;0;2.596;3;2.9
270;2918;10;2.562;3;2.9
270;2918;20;2.306;3;2.9
270;2918;30;1.717;3;2.9
270;2918;42;0.578;3;2.9
270;2918;46;0.124;3;2.9
270;3620;0;2.359;3;2.9
270;3620;10;2.275;3;2.9
270;3620;20;1.95;3;2.9
270;3620;30;1.347;3;2.9
270;3620;42;0.054;3;2.9
270;3620;46;-0.502;3;2.9
270;3693;0;2.334;3;2.9
270;3693;10;2.249;3;2.9
270;3693;20;1.928;3;2.9
270;3693;30;1.314;3;2.9
270;3693;42;0.038;3;2.9
270;3693;46;-0.547;3;2.9
270;3755;0;2.281;3;2.9
270;3755;10;2.198;3;2.9
270;3755;20;1.886;3;2.9
270;3755;30;1.256;3;2.9
270;3755;42;-0.032;3;2.9
270;3755;46;-0.612;3;2.9
270;3978;0;2.168;3;2.9
270;3978;10;2.081;3;2.9
270;3978;20;1.789;3;2.9
270;3978;30;1.124;3;2.9
270;3978;42;-0.155;3;2.9
270;3978;46;-0.646;3;2.9
270;4469;0;1.944;3;2.9
270;4469;10;1.867;3;2.9
270;4469;20;1.553;3;2.9
270;4469;30;0.868;3;2.9
270;4469;42;-0.441;3;2.9
270;4469;46;-0.974;3;2.9
270;5041;0;1.729;3;2.9
270;5041;10;1.65;3;2.9
270;5041;20;1.298;3;2.9
270;5041;30;0.515;3;2.9
270;5041;42;-0.806;3;2.9
270;5041;46;-1.27;3;2.9
270;5570;0;1.505;3;2.9
270;5570;10;1.422;3;2.9
270;5570;20;1.042;3;2.9
270;5570;30;0.234;3;2.9
270;5570;42;-1.605;3;2.9
270;5570;46;-2.033;3;2.9
270;6145;0;1.199;3;2.9
270;6145;10;1.104;3;2.9
270;6145;20;0.748;3;2.9
270;6145;30;-0.056;3;2.9
270;6145;42;-2.288;3;2.9
270;6145;46;-2.975;3;2.9
292.5;55;0;3.39;3;2.9
292.5;55;10;3.363;3;2.9
292.5;55;20;3.23;3;2.9
292.5;55;30;2.988;3;2.9
292.5;55;42;2.575;3;2.9
292.5;55;46;2.402;3;2.9
292.5;377;0;3.26;3;2.9
292.5;377;10;3.228;3;2.9
292.5;377;20;3.1;3;2.9
292.5;377;30;2.87;3;2.9
292.5;377;42;2.461;3;2.9
292.5;377;46;2.297;3;2.9
292.5;884;0;3.16;3;2.9
292.5;884;10;3.134;3;2.9
292.5;884;20;3.009;3;2.9
292.5;884;30;2.756;3;2.9
292.5;884;42;2.22;3;2.9
292.5;884;46;1.89;3;2.9
292.5;1284;0;3.049;3;2.9
292.5;1284;10;3.021;3;2.9
292.5;1284;20;2.903;3;2.9
292.5;1284;30;2.638;3;2.9
292.5;1284;42;1.728;3;2.9
292.5;1284;46;1.401;3;2.9
292.5;1708;0;2.91;3;2.9
292.5;1708;10;2.882;3;2.9
292.5;1708;20;2.776;3;2.9
292.5;1708;30;2.285;3;2.9
292.5;1708;42;1.336;3;2.9
292.5;1708;46;0.971;3;2.9
292.5;2134;0;2.785;3;2.9
292.5;2134;10;2.753;3;2.9
292.5;2134;20;2.622;3;2.9
292.5;2134;30;2.032;3;2.9
292.5;2134;42;1.005;3;2.9
292.5;2134;46;0.629;3;2.9
292.5;2918;0;2.596;3;2.9
292.5;2918;10;2.564;3;2.9
292.5;2918;20;2.301;3;2.9
292.5;2918;30;1.686;3;2.9
292.5;2918;42;0.447;3;2.9
292.5;2918;46;0.012;3;2.9
292.5;3620;0;2.359;3;2.9
292.5;3620;10;2.272;3;2.9
292.5;3620;20;1.948;3;2.9
292.5;3620;30;1.307;3;2.9
292.5;3620;42;-0.04;3;2.9
292.5;3620;46;-0.515;3;2.9
292.5;3693;0;2.334;3;2.9
292.5;3693;10;2.245;3;2.9
292.5;3693;20;1.924;3;2.9
292.5;3693;30;1.281;3;2.9
292.5;3693;42;-0.066;3;2.9
292.5;3693;46;-0.546;3;2.9
292.5;3755;0;2.281;3;2.9
292.5;3755;10;2.195;3;2.9
292.5;3755;20;1.881;3;2.9
292.5;3755;30;1.226;3;2.9
292.5;3755;42;-0.117;3;2.9
292.5;3755;46;-0.701;3;2.9
292.5;3978;0;2.168;3;2.9
292.5;3978;10;2.08;3;2.9
292.5;3978;20;1.779;3;2.9
292.5;3978;30;1.096;3;2.9
292.5;3978;42;-0.303;3;2.9
292.5;3978;46;-0.722;3;2.9
292.5;4469;0;1.944;3;2.9
292.5;4469;10;1.867;3;2.9
292.5;4469;20;1.549;3;2.9
292.5;4469;30;0.864;3;2.9
292.5;4469;42;-0.568;3;2.9
292.5;4469;46;-1.166;3;2.9
292.5;5041;0;1.729;3;2.9
292.5;5041;10;1.65;3;2.9
292.5;5041;20;1.303;3;2.9
292.5;5041;30;0.6;3;2.9
292.5;5041;42;-0.851;3;2.9
292.5;5041;46;-1.429;3;2.9
292.5;5570;0;1.505;3;2.9
292.5;5570;10;1.423;3;2.9
292.5;5570;20;1.048;3;2.9
292.5;5570;30;0.317;3;2.9
292.5;5570;42;-1.473;3;2.9
292.5;5570;46;-2.203;3;2.9
292.5;6145;0;1.199;3;2.9
292.5;6145;10;1.107;3;2.9
292.5;6145;20;0.754;3;2.9
292.5;6145;30;0.007;3;2.9
292.5;6145;42;-1.916;3;2.9
292.5;6145;46;-2.773;3;2.9
315;55;0;3.39;3;2.9
315;55;10;3.368;3;2.9
315;55;20;3.263;3;2.9
315;55;30;3.06;3;2.9
315;55;42;2.736;3;2.9
315;55;46;2.576;3;2.9
315;377;0;3.26;3;2.9
315;377;10;3.235;3;2.9
315;377;20;3.134;3;2.9
315;377;30;2.943;3;2.9
315;377;42;2.612;3;2.9
315;377;46;2.464;3;2.9
315;884;0;3.16;3;2.9
315;884;10;3.14;3;2.9
315;884;20;3.04;3;2.9
315;884;30;2.83;3;2.9
315;884;42;2.295;3;2.9
315;884;46;1.954;3;2.9
315;1284;0;3.049;3;2.9
315;1284;10;3.025;3;2.9
315;1284;20;2.936;3;2.9
315;1284;30;2.701;3;2.9
315;1284;42;1.845;3;2.9
315;1284;46;1.503;3;2.9
315;1708;0;2.91;3;2.9
315;1708;10;2.887;3;2.9
315;1708;20;2.8;3;2.9
315;1708;30;2.384;3;2.9
315;1708;42;1.438;3;2.9
315;1708;46;1.073;3;2.9
315;2134;0;2.785;3;2.9
315;2134;10;2.759;3;2.9
315;2134;20;2.652;3;2.9
315;2134;30;2.147;3;2.9
315;2134;42;1.087;3;2.9
315;2134;46;0.729;3;2.9
315;2918;0;2.596;3;2.9
315;2918;10;2.571;3;2.9
315;2918;20;2.37;3;2.9
315;2918;30;1.817;3;2.9
315;2918;42;0.646;3;2.9
315;2918;46;0.097;3;2.9
315;3620;0;2.359;3;2.9
315;3620;10;2.286;3;2.9
315;3620;20;1.999;3;2.9
315;3620;30;1.446;3;2.9
315;3620;42;0.191;3;2.9
315;3620;46;-0.264;3;2.9
315;3693;0;2.334;3;2.9
315;3693;10;2.26;3;2.9
315;3693;20;1.977;3;2.9
315;3693;30;1.421;3;2.9
315;3693;42;0.154;3;2.9
315;3693;46;-0.278;3;2.9
315;3755;0;2.281;3;2.9
315;3755;10;2.208;3;2.9
315;3755;20;1.933;3;2.9
315;3755;30;1.362;3;2.9
315;3755;42;0.186;3;2.9
315;3755;46;-0.333;3;2.9
315;3978;0;2.168;3;2.9
315;3978;10;2.092;3;2.9
315;3978;20;1.831;3;2.9
315;3978;30;1.256;3;2.9
315;3978;42;0.155;3;2.9
315;3978;46;-0.48;3;2.9
315;4469;0;1.944;3;2.9
315;4469;10;1.879;3;2.9
315;4469;20;1.607;3;2.9
315;4469;30;1.036;3;2.9
315;4469;42;-0.229;3;2.9
315;4469;46;-0.73;3;2.9
315;5041;0;1.729;3;2.9
315;5041;10;1.661;3;2.9
315;5041;20;1.365;3;2.9
315;5041;30;0.778;3;2.9
315;5041;42;-0.564;3;2.9
315;5041;46;-0.707;3;2.9
315;5570;0;1.505;3;2.9
315;5570;10;1.435;3;2.9
315;5570;20;1.123;3;2.9
315;5570;30;0.511;3;2.9
315;5570;42;-0.928;3;2.9
315;5570;46;-1.635;3;2.9
315;6145;0;1.199;3;2.9
315;6145;10;1.116;3;2.9
315;6145;20;0.819;3;2.9
315;6145;30;0.124;3;2.9
315;6145;42;-1.568;3;2.9
315;6145;46;-2.003;3;2.9
337.5;55;0;3.39;3;2.9
337.5;55;10;3.377;3;2.9
337.5;55;20;3.314;3;2.9
337.5;55;30;3.193;3;2.9
337.5;55;42;2.965;3;2.9
337.5;55;46;2.88;3;2.9
337.5;377;0;3.26;3;2.9
337.5;377;10;3.246;3;2.9
337.5;377;20;3.185;3;2.9
337.5;377;30;3.065;3;2.9
337.5;377;42;2.842;3;2.9
337.5;377;46;2.758;3;2.9
337.5;884;0;3.16;3;2.9
337.5;884;10;3.149;3;2.9
337.5;884;20;3.087;3;2.9
337.5;884;30;2.961;3;2.9
337.5;884;42;2.598;3;2.9
337.5;884;46;2.277;3;2.9
337.5;1284;0;3.049;3;2.9
337.5;1284;10;3.033;3;2.9
337.5;1284;20;2.978;3;2.9
337.5;1284;30;2.831;3;2.9
337.5;1284;42;2.122;3;2.9
337.5;1284;46;1.873;3;2.9
337.5;1708;0;2.91;3;2.9
337.5;1708;10;2.896;3;2.9
337.5;1708;20;2.838;3;2.9
337.5;1708;30;2.623;3;2.9
337.5;1708;42;1.812;3;2.9
337.5;1708;46;1.5;3;2.9
337.5;2134;0;2.785;3;2.9
337.5;2134;10;2.768;3;2.9
337.5;2134;20;2.702;3;2.9
337.5;2134;30;2.388;3;2.9
337.5;2134;42;1.582;3;2.9
337.5;2134;46;1.208;3;2.9
337.5;2918;0;2.596;3;2.9
337.5;2918;10;2.581;3;2.9
337.5;2918;20;2.482;3;2.9
337.5;2918;30;2;3;2.9
337.5;2918;42;1.17;3;2.9
337.5;2918;46;0.829;3;2.9
337.5;3620;0;2.359;3;2.9
337.5;3620;10;2.307;3;2.9
337.5;3620;20;2.09;3;2.9
337.5;3620;30;1.685;3;2.9
337.5;3620;42;0.847;3;2.9
337.5;3620;46;0.397;3;2.9
337.5;3693;0;2.334;3;2.9
337.5;3693;10;2.281;3;2.9
337.5;3693;20;2.069;3;2.9
337.5;3693;30;1.653;3;2.9
337.5;3693;42;0.825;3;2.9
337.5;3693;46;0.372;3;2.9
337.5;3755;0;2.281;3;2.9
337.5;3755;10;2.226;3;2.9
337.5;3755;20;2.018;3;2.9
337.5;3755;30;1.609;3;2.9
337.5;3755;42;0.769;3;2.9
337.5;3755;46;0.324;3;2.9
337.5;3978;0;2.168;3;2.9
337.5;3978;10;2.115;3;2.9
337.5;3978;20;1.922;3;2.9
337.5;3978;30;1.514;3;2.9
337.5;3978;42;0.571;3;2.9
337.5;3978;46;0.164;3;2.9
337.5;4469;0;1.944;3;2.9
337.5;4469;10;1.899;3;2.9
337.5;4469;20;1.708;3;2.9
337.5;4469;30;1.299;3;2.9
337.5;4469;42;0.304;3;2.9
337.5;4469;46;-1.612;3;2.9
337.5;5041;0;1.729;3;2.9
337.5;5041;10;1.682;3;2.9
337.5;5041;20;1.481;3;2.9
337.5;5041;30;1.06;3;2.9
337.5;5041;42;0.459;3;2.9
337.5;5041;46;-0.36;3;2.9
337.5;5570;0;1.505;3;2.9
337.5;5570;10;1.457;3;2.9
337.5;5570;20;1.251;3;2.9
337.5;5570;30;0.776;3;2.9
337.5;5570;42;-0.22;3;2.9
337.5;5570;46;-0.019;3;2.9
337.5;6145;0;1.199;3;2.9
337.5;6145;10;1.144;3;2.9
337.5;6145;20;0.933;3;2.9
337.5;6145;30;0.469;3;2.9
337.5;6145;42;-0.617;3;2.9
337.5;6145;46;-0.193;3;2.9
360;55;0;3.39;3;2.9
360;55;10;3.389;3;2.9
360;55;20;3.378;3;2.9
360;55;30;3.349;3;2.9
360;55;42;3.3;3;2.9
360;55;46;3.278;3;2.9
360;377;0;3.26;3;2.9
360;377;10;3.257;3;2.9
360;377;20;3.247;3;2.9
360;377;30;3.223;3;2.9
360;377;42;3.173;3;2.9
360;377;46;3.146;3;2.9
360;884;0;3.16;3;2.9
360;884;10;3.158;3;2.9
360;884;20;3.149;3;2.9
360;884;30;3.115;3;2.9
360;884;42;3.044;3;2.9
360;884;46;2.929;3;2.9
360;1284;0;3.049;3;2.9
360;1284;10;3.043;3;2.9
360;1284;20;3.027;3;2.9
360;1284;30;2.991;3;2.9
360;1284;42;2.796;3;2.9
360;1284;46;2.601;3;2.9
360;1708;0;2.91;3;2.9
360;1708;10;2.908;3;2.9
360;1708;20;2.893;3;2.9
360;1708;30;2.855;3;2.9
360;1708;42;2.492;3;2.9
360;1708;46;2.277;3;2.9
360;2134;0;2.785;3;2.9
360;2134;10;2.781;3;2.9
360;2134;20;2.764;3;2.9
360;2134;30;2.713;3;2.9
360;2134;42;2.297;3;2.9
360;2134;46;2.06;3;2.9
360;2918;0;2.596;3;2.9
360;2918;10;2.595;3;2.9
360;2918;20;2.586;3;2.9
360;2918;30;2.348;3;2.9
360;2918;42;1.905;3;2.9
360;2918;46;1.792;3;2.9
360;3620;0;2.359;3;2.9
360;3620;10;2.337;3;2.9
360;3620;20;2.22;3;2.9
360;3620;30;1.97;3;2.9
360;3620;42;1.664;3;2.9
360;3620;46;1.484;3;2.9
360;3693;0;2.334;3;2.9
360;3693;10;2.312;3;2.9
360;3693;20;2.194;3;2.9
360;3693;30;1.956;3;2.9
360;3693;42;1.642;3;2.9
360;3693;46;1.463;3;2.9
360;3755;0;2.281;3;2.9
360;3755;10;2.254;3;2.9
360;3755;20;2.14;3;2.9
360;3755;30;1.916;3;2.9
360;3755;42;1.597;3;2.9
360;3755;46;1.419;3;2.9
360;3978;0;2.168;3;2.9
360;3978;10;2.144;3;2.9
360;3978;20;2.034;3;2.9
360;3978;30;1.838;3;2.9
360;3978;42;1.484;3;2.9
360;3978;46;1.305;3;2.9
360;4469;0;1.944;3;2.9
360;4469;10;1.927;3;2.9
360;4469;20;1.834;3;2.9
360;4469;30;1.653;3;2.9
360;4469;42;1.267;3;2.9
360;4469;46;1.055;3;2.9
360;5041;0;1.729;3;2.9
360;5041;10;1.714;3;2.9
360;5041;20;1.635;3;2.9
360;5041;30;1.444;3;2.9
360;5041;42;1.007;3;2.9
360;5041;46;0.798;3;2.9
360;5570;0;1.505;3;2.9
360;5570;10;1.488;3;2.9
360;5570;20;1.405;3;2.9
360;5570;30;1.177;3;2.9
360;5570;42;0.611;3;2.9
360;5570;46;0.452;3;2.9
360;6145;0;1.199;3;2.9
360;6145;10;1.175;3;2.9
360;6145;20;1.075;3;2.9
360;6145;30;-0.864;3;2.9
360;6145;42;0.371;3;2.9
360;6145;46;0.066;3;2.9